post,prefLabel,postAnnotations,mergedAnnotations,enriched-ontology-obsession,enriched-ontology-compulsion,obsession-expert,Compulsion-expert,Explanation
"January of this year I was let go from my job. My OCD had spiked and I was calling out sick for weeks. They were kind enough and felt bad I was so """"""""sick"""""""" that laid me off so I could collect unemployment and keep my insurance benefits. My unemployment runs out next week.
I am doing much better now and though the prospect of going back to work scares me I do not have an option. My big concern is explaining the gap in my work history. It is not as though I can say, Hi, I have a mental illness and had a nervous breakdown.
I am also concerned because I have talk therapy once to twice a week to deal with my depression and PTSD, and I am supposed to be starting CBT soon. I am not sure how I would go about getting the time needed for these very important things.
Does anyone have any advice to offer??
Thanks so much in advance!!
~jenna","['OCD', 'depression']",['spike'],"['spike', 'depression', 'OCD']",1.0,,1,0,My OCD had spiked and I was calling out sick for weeks. / I have a mental illness and had a nervous breakdown. /  My unemployment runs out next week
"Hello everyone
We've had my two-year-old niece with us for most of this week and she's actually been really good for me because she's kept me busy and active and I think might have helped me confront some of my thoughts.
However, right now, I'm a little bit frightened. I've been going through a thing for some time when I would keep checking all the switches in our hallway. Some of them don't 'go' anywhere, they're just stray switches but then because they don't do anything, that seemed to stress me out even more in case I started a fire somewhere secret. But more than that, I'm afraid I might have been checking for them for the sake of checking.
The truth is, I feel really upset and feel I'm setting too much store by my OCD right now, making myself sick and dizzy and hot by checking the switches night after night and I think I might have done it just because. I finally hit rock-bottom last night - there's one switch in particular that doesn't 'do anything', right next to the bathroom one. Both of them are outside the bathroom door. I keep checking both switches - even though it's obvious they're both turned off - and I keep checking and checking, counting to and fro in my head. I also get paranoid still about getting water on switches. Unfortunately, all this backwards and forwards kept making me want to go to the bathroom, which is a problem because it turns into a vicious circle.
I got into a state last night and told my dad everything and he told me to 'rationalise' and not check the switches. So now I'm not.
And this is the daft thing - but I feel really scared. I'm scared because I'm not doing it and I'm scared the game is finally up for me - that the whole world has done what it can for me and there's no more help I can be given. I'm scared because doing the rituals seem to have become part of me. I'm scared because I fear a kind of 'arrogance' taking me over and I'm scared of how I feel in case I sabotage my own chances of recovery - something I really fear doing.
I feel I need a distraction, but I'm not sure what. I'm just so scared of myself.
C x","['dizziness', 'Thought', 'hallway', 'OCD', 'outside', 'Rituals', 'fear', 'bathroom', 'checking']",['Rituals'],"['outside', 'hallway', 'bathroom', 'fear', 'Thought', 'Rituals', 'checking', 'dizziness', 'OCD']",,1.0,0,1,"The truth is, I feel really upset and feel I'm setting too much store by my OCD right now, making myself sick and dizzy and hot by checking the switches night after night and I think I might have done it just because. I finally hit rock-bottom last night - there's one switch in particular that doesn't 'do anything', right next to the bathroom one. Both of them are outside the bathroom door. I keep checking both switches - even though it's obvious they're both turned off - and I keep checking and checking, counting to and fro in my head. I also get paranoid still about getting water on switches. Unfortunately, all this backwards and forwards kept making me want to go to the bathroom, which is a problem because it turns into a vicious circle./ I'm scared because doing the rituals seem to have become part of me.
"
"Hello everyone
Feeling a bit down at the moment (yeah, I know *facepalm*) My parents have dropped me back off at my student housing for the night and I'm the only one here, which I wasn't really expecting. I've just been feeling a little afraid, and worried I won't be able to trust myself, especially as my parents were quite keen on me coming back with them, and took a fair bit of persuasion to let me stay, because I was in desperate need of some space.
... On the plus side, I'm keeping myself busy! Anyone fancy a singalong to the Dennis the Menace theme tune?",['drop'],['theme'],"['drop', 'theme']",1.0,,0,0,
"I wanted to share with you this little illustration of why reassurance seeing doesn't work... I guess it might help someone, feel free to skip though as it's quite boring
so anyway, a few months ago I had an explosion of ocd, which prompted me to join this forum. It was by far the worst experience of ocd I've ever had, if not any kind of experience. I had this worry that I was going to be arrested for something that happened many years ago. I wanted - needed - certainty. I was absolutely desperate. It was the lowest I've ever been and I ended up in a pretty dark place.
Anyway I like to think I'm quite a rational minded person, so I wanted to look at the scientific odds of this happening. I'd read a self help book once that said this was a good way of reducing your worry.
I made a list of eight things that would have to happen in order for my worries to come true, and then gave an honest percentage to each event in terms of how likely they were to happen. My estimate was pretty generous as I was by this point quite convinced. I then multiplied them together and came out with a one in 300,000 chance of my worry coming true. I couldn't argue with maths: this was the truth.
So for a couple of days I had a spring in my step, feeling like the world had been lifted. """"""""this reassurance DOES work"""""""" I told myself.
But then the doubt crept in. My brain wrapped itself round that one chance, even though it was one in three hundred thousand, at best. That """"""""one"""""""" loomed large in my mind. It wasn't good enough. I started panicking, googling, asking, researching, ruminating, i felt sick all the time, I felt I couldn't go on and my life was over... in short I got stuck on the ocd roundabout and couldn't get off.
So even though I was quite satisfied that the odds were infinitely small - much smaller than the chances of a car crash, getting cancer, having a heart attack etc (none of which worried me at all) - I was OBSESSED with this because I kept feeding the fire by carrying out my rituals.
So I guess the point I wanted to get across is that... the reassurance seeking/researching never ever ever ever ever works because even if there's only one chance in three hundred thousand, or in a billion, ocd will still latch onto it. The ONLY way to move past it is to say """"""""ok, whatever, maybe that will happen, I can't read the future"""""""" and get on with life.
I hope this doesn't seem at all condescending or preachy - that's not how I mean it at all, cos I still massively struggle with this! - it just really struck me as quite a stark illustration of how reassurance never works, no matter how tempting it is. So if anyone is reading this, desperate for certainty on a particular issue, please stop, you'll never get certainty - you don't need it! it's just ocd. Forget him and his bullying ways. just get on and enjoy your day xx","['rash', 'Rituals', 'hope', 'Bullying', 'joy', 'OCD']",['Rituals'],"['OCD', 'Bullying', 'rash', 'Rituals', 'joy', 'hope']",,1.0,0,1,"I had an explosion of ocd/  I started panicking, googling, asking, researching, ruminating, i felt sick all the time, I felt I couldn't go on and my life was over. /  I was OBSESSED with this because I kept feeding the fire by carrying out my rituals.
"
"So, I just admitted that I might have PTSD and BPD, apart from OCD, which I admitted I have last summer, finally, after being in denail about it for half a year. Plus social anxiety and insomnia. And depression and anger issues.
So I think it's not really about getting rid of OCD, or getting read of PTSD, it's about getting a better mental health and having a greater quality of life overall. It's about making healthy choices in spite of your difficulties, and having a good therapist to guide your way and together with which to swim and make a little order in the myriad of thoughts we have. And it's about also realising that thoughts are just like clouds in the sky, they come and they go, and we sometimes have better and more enjoyable things to do than focus on them.
Life is worth living, after all.
I see a lot of people here talking about relapses, changing themes... I wanted to put this idea out here.
Three years ago my goal was to lose weight. I did everthing I could in order to achieve it, and I did. After I did it, I started being lazy, I stopped exercising and eating healthy, and here I am, three years later, 40 pounds overweight.
Nobody expects to stay in great shape if they stop exercising and stop eating healthy. So why is it that some would expect to stop doing what's healthy for them mentally and have great mental health?
The brain is a muscle, and as any muscle we have, if we stop training it it gets soggy.
When we develop OCD is an alarm signal to start doing those healthy things which we know are healthy for us. But really, everyone could benefit from training their brains: through meditation, mindfulness, exercising, eating healthy, learning when it is worthy to worry and when it is not...
We are not our OCD, BPD, PTSD and the key to recovery is to make recovery from OCD a byproduct of the healthy lifestyle choices you make: act according to your values, in spite of your fears, do the things you wanna do, work towards your goals, cultivate your passions, and others.
That's what I believe is the key not only to recovery from OCD for good, but olso to build a more happier, meaningul life.
I, for one, now that I admitted that I might also have these other two mental disorders, apart from the three I knew I had, I am determined to change. I am determined to work hard towards recovering from PTSD and BPD and OCD and develop the mental tools which will help me further along in my journey through life, to put all these mental health issues behind.
I encourage you all to have faith in yourself, in your ability to change and in your ability to make life as you want it.
Peace.","['anxiety', 'anxiety', 'insomnia', 'depression', 'anger', 'quality', 'joy', 'talking', 'overweight', 'fear', 'mental disorder', 'Thought', 'OCD']",['theme'],"['talking', 'quality', 'anxiety', 'mental disorder', 'depression', 'anger', 'fear', 'Thought', 'joy', 'overweight', 'insomnia', 'theme', 'OCD']",1.0,,0,0,"I might have PTSD and BPD, apart from OCD, which I admitted I have last summer, "
"Went into rumination bout something that always gets me and been thru with a previous Therapist! Off to work now but anxious a little, nervy. Any words of encouragement seriously appreciated, was thinking positive and ignoring! Xx",[],['rumination'],['rumination'],1.0,,0,0,
"erm...how shall i start this post ...
i'm soooo used to whinging that i dont know how to write something positive :lol:
i know we have heard it said before , and when we are in the middle of a pit of ocd and depression its so hard to believe, but ...
....and i dont write this lightly having been hanging over the cliff of despair for so long now.....
i am soooo much better ....................
please guys we can get better and things can get better - i never would have thought that i would ever be writing this post ever - but i am so much better now .
this time last year i was sleeping for 3 hours in a 24 hr period and that was in my car - i was also spending 19 hours a day in checking rituals , was covered in self harm scars across my arms head and chest and was praying that i could die
but i am 1000000000% better now, and i am just writing this to encourage you gus that no matter how u feel now , - it wont always feel this bad - i promise
i have had ocd for 31 years and it was so severe , so you have to believe me that we can all get better and through this together
ironically it was me falling over and breaking my leg ankle and wrist that helped me get over my ocd - because all of a sudden i could do nothing - so i had to rest and as i got some sleep my perspective got clearer and i got better
i dont necessarily recommend breaking bones :lol:, but sometimes the worst life changes can turn out to be blessings in disguise
i am at college 3 times a week now doing counselling , humanistic psychology, nlp and various other things so i'm gonna go for training to be a cbt counseller as i have been accepted on the courses :cheer:
i am also trying to ease myself back into playing badminton - nothing to do with the cute men there honestly
so i wont be around much on the boards but will pop in from time to time just to irritate you guys
sorry , i didnt write this post to show off or say hey look at me - i wrote it to try and give a bit of hope to us all and to say that .....to say that thankyou for being there for me and helping me - thankyou and guys a massive hug xxxxxxxxxxxxxxxxx","['depression', 'despair', 'Thought', 'checking', 'Rituals', 'fall', 'hope', 'writing', 'OCD']",[‘Rituals’],"['hope', 'OCD', 'depression', 'fall', 'Thought', 'checking', 'Rituals', 'writing', 'despair']",,1.0,,1,"i was also spending 19 hours a day in checking rituals , wa"
"Today I had one of the worst OCD Days ever, but it turned out quite well.
We have a god awful wedding this Saturday (two people we have never met but know their parents and are """"""""slightly"""""""" related to them). I didn't have anything to wear, so two weeks ago I ordered something online, only when it got here last Friday it didn't fit. It was too late to get something else online, so I had to go shopping (something I hate), in Inverness, where I found nothing, then Aberdeen, where I found nothing. Today we decided to drive down to Edinburgh. Apart from the stress and poor John having to listen to me scream at him to watch where he stood for the 100th time, we were almost home when John said he needed to use the loo. I needed to go too, but was wary. We went into John Lewis, thinking it would be clean, and when I went in the stall I thought """"""""that's one clean loo"""""""". I sat down (making a mental note to shower when I got home). I'd just finished when I saw it. There was a match on the floor in the corner. It was not a place you'd have stood, but whomever had used the loo before me had put it there, making the whole bathroom contaminated, including the seat I was sitting on, and the paper I'd have to use.
I lost it big style. I started screaming crying. I finished my business, washed my hands, then realised there was no point as I was totally exposed (because the contamination was *inside* me). I ran out and stood in the middle of the shop crying. poor John came over and I screamed at him to get away from me. We left to go to the car and I cryed my way through the shopping centre. He had to go down the stairs and I the lift because I didn't want him so close to me.
At the car I lost it again. We got in, and I told him not to touch me, not even by accident. It was a two and a half hour minimum journey home and I couldn't stop crying. Once out of the centre and on the road the worst moment came. I couldn't stop visualising it in my mind on the floor, and i started to cry again. I wiped my eyes, not thinking that my hands felt contaminated, and Then I realised that because the blood vessles are thin in your eyes that the """"""""germs"""""""" would not only be *inside* my lower areas, but they were now in my bloodstream. I had to tilt my head back to cry so the tears wouldn't go down my face and near my mouth as they were contaminated, and I didn't want them in my mouth.
Then something happened that changed everything. A One and a half hour traffic jam.
In a car, totally at the end of my thether and feeling like I wanted to die (i kept asking poor John just to kill me to put me out of my misery). The third worst possible contamination (touching one would be worst, followed by touching someone who has them on their person), but just as stressful as having touched one, I realised I hadn't died. The chemicals hadn't made me combust. I was still breathing, not sick, not dying. I was paniced, yes, but apart from that I could breathe, I could talk, i could move, and most importantly the world didn't come to an end.
By the end ot the Jam, I was at a kind of a strange *peace* with it. I even kissed john, without fear of him being hurt because I was contaminated. I realised I was sitting in the car doing mental rituals to stop the stress, then I thought """"""""well, the didn't stop you getting contaminated in the first place, so why do them now?"""""""". I tried not to do them, though they kept creeping back almost subconciously. When they would I stopped as soon as I realised, and nothing bad happened when I did.
So I had a wee victory. I must admit, when I got in did have a shower, but it was half as long as it normally is. I also don't plan on decontaminating the car (at least at the moment, although I still want to). I do keep gettign these weird *spasms* where i sort of stop breathing, them my body spasms to start it again, but they don't really hurt (they are a bit scary). I think at the moment I'm running on 90% adrenaline, 5% faith and 5% love (becaue John got me through it). I don't know where to go from here, but at least to day I won for once!
*sorry about the spelling mistakes, I'm a bit flustered.","['OCD', 'bathroom', 'fear', 'Rituals', 'hopping', 'Thought', 'sms']",['Rituals'],"['hopping', 'fear', 'Thought', 'Rituals', 'bathroom', 'OCD', 'sms']",,1.0,1,1," I started screaming crying. I finished my business, washed my hands, then realised there was no point as I was totally exposed (because the contamination was *inside* me)."
"This morning I made a resolution to try not post asking for reassurance.  So, here's today's positives so far:
1. Had blood test - came home and resisted washing hands for about half an hour until I needed to go to the loo and had to wash them.
2. On Christmas Day I dropped an earring on the bedroom floor, picked it up and put it on the side waiting until I felt ready to wash it.  Today I put it in without washing and didn't wash my hands afterwards either.","['washing hands', 'drop', 'bedroom']",[],"['bedroom', 'drop', 'washing hands']",,1.0,,0,
"hi everyone
I am not sure if i am writing this message in the right place but am not very god at computers and this is the only 'post a topic' page i have found in 20 mins of searching so am going to give it a go!
I have had OCD for about7 months. I am feeling pretty good at the moment. I am on medication and having CBT therapy. I think my therapist is good and i have made quite a lot of improvements since i started therapy. However, there are still some behaviours e.g. handwashing, avoiding things touched by others that i am finding it hard to let go of. My therapist has suggested that i try to 'go for it' and try to not do any of my behavioural rituals AT ALL to really try and make a big jump forward. I am just worried that if I try this, i will become really depressed and stressed again. I really dont want to go back to feeling terrible because i am so happy to be feeling better and don't want to go back to feeling bad again.
I was wondering if anyone has been though this sort of therapy and how long it took you to feel ok again once you started the intensive behavioural work? It would be nice to know that there is light at the end of the tunnel before i go in!!!
Anyway, hope to chat to you soon","['writing', 'OCD', 'Medication', 'Rituals', 'feeling bad', 'hope']",['Rituals'],"['hope', 'writing', 'Rituals', 'feeling bad', 'Medication', 'OCD']",,1.0,,1,"there are still some behaviours e.g. handwashing, avoiding things touched by others that i am finding it hard to let go o"
