post,prefLabel,obsession_first_checker,obsession_second_checker,obsession_third_checker,compulsion_first_checker,compulsion_second_checker,compulsion_third_checker,postAnnotations,mergedAnnotations,Compulsion exp,Obsession exp
"I grew up with obsessive thoughts, or more aptly, intrusive thoughts. I believed they were a reflection of who I am, but recently I have learned the very opposite. They are exactly who I am not. It is not real. There is a dark honesty about the next few paragraphs, but I feel it needs to be told.
My intrusive thoughts (intrusions) have always been violent. From as young as 4, I remember thinking about death. A little older, about killing, rape, murder. Under the age of 10, I would constantly be haunted by thoughts of torturing people around me. Inappropriate acts of violence. And even though I didn’t understand it, acts of sexual violence. These thoughts came in fast and in succession. They become constant, repulsive, extremely distressing. When I was little, I recognised intrusions as bad thoughts. I knew I shouldn’t be having them but I didn’t know how to communicate them to others. They could be so frightening, it almost felt like my own mind was blackmailing me. To make matters worse, obsessive thoughts ugly brother, consequence stepped in. Consequence took my compulsions and mixed them up with my obsessions. It reared its head in the voice that speaks, “If you don’t match all of the spoons up together, your mum will die today”. “If don’t you cross your toes when your legs are crossed, you will crash your car into those school children.” “If you don’t wash your hands 3 times in the 12 step process, your house will be robbed while you are at work”.","['site', 'compulsion', 'obsession', 'rash', 'process', 'Intrusive thoughts', 'Thought']",1,1,1,1,1,1.0,"['rape', 'violent', 'distressing', ‘repulsive','intrusion', 'obsessive thought', 'obsession', 'hand', 'intrusive thought']","['rape', 'violent', 'hand', 'distressing', 'obsessive', 'repulsive', 'site', 'rash', 'thought', 'intrusive thoughts', 'obsession', 'obsessive thought', 'process', 'compulsion', 'intrusion', 'intrusive thought']",1,1
"I have been thinking so much about Covid because it’s part of my job and well, who isn’t, right? The concern for me was about all the encouraged hand washing and OCD. Would that scratch that OCD itch in my brain? I got tired real quick about singing ‘happy birthday’ while washing my hands and it became clear to me that this is like life in that we can’t be perfect and striving to perfectly eliminate all risk is just not gonna happen, and increase anxiety. I have fear of contamination and that might get worse with Covid-19. I have to manage my thought I know it is irrational and I am cleaned but do it for revealing.","['singing', 'washing hands', 'anxiety', 'anxiety', 'fear', 'Thought', 'OCD']",1,1,1,1,1,0.0,"['washing', 'irrational', 'thought', 'hand']","['ocd', 'anxiety', 'fear', 'washing', 'washing hands', 'thought', 'irrational', 'singing', 'hand']",,
"I fed up, I send all day checking excessive checking, every thing I can not go with my friends because I have no times. Can you believe? OCD is not something you can manage it it is out go control, thought come to my mind that I have not close the oven and I am positive I did it but I can only trust this thought not me. Very sad and need help. I belive that old is nonecse and irrational but can not go further step. ","['OCD', 'checking', 'Thought']",1,1,1,1,1,1.0,"['irrational', 'thought', 'excessive checking']","['ocd', 'excessive checking', 'checking', 'irrational', 'thought']",1,1
"I’ve noticed that I’ve been washing my hands more lately, that things are triggering a need to wash my hands and that I’m giving in to those triggers more often. This scares me. I need to be careful and work on not giving in. But like today I washed my hands quite a few times that I probably didn’t really need to. But it really felt like I needed to in that moment. And just going ahead and washing seemed easier than waiting out the need.
I’ve been having such a difficult time lately with depression. Therapy is so hard. But I’ve been holding on to all the progress I made in OCD therapy, and that helps me keep working on depression stuff in therapy. I keep remind myself that I got better, that I got control of OCD. OCD is irrational.  Hopefully I get better soon. ","['washing hands', 'hope', 'depression', 'OCD']",1,0,0,1,1,1.0,"['washing', 'irrational', 'hand']","['ocd', 'washing', 'depression', 'irrational', 'washing hands', 'hope', 'hand']",,
"This sounds so stupid
At the moment I want to download Windows Live messenger but I cant because something bad might happen. I know it wont but I cant seem to do it. I just need reassurance that nothing bad will happen. Its getting on my nerves.
I know this sounds stupid but its really frustrating because I know nothing will happen. I usually have bad thoughts actually not bad horrible thought that something bad will happen, this is not real but I can be frustrated because of it. ",['Thought'],1,1,1,1,0,0.0,['thought'],['thought'],,
"I just don't get whats wrong. I'm getting so much worse. I was in my room from 2-7pm today tapping with no break. I can't stop crying I'm sooooo scares. I know you can't help me but, well, I don't know - I may as well ask? It’s the part that I’ve just indulged somewhat and potentially has become worse over the years. I struggle to feel safe, comfortable if I’m not sure something is done, such as locking the door. There is no reason for why I feel the need to check all the time  I know there is no need, it is unrealistic thought feel terrified of the consequences or visions of which pass my mind. I have never forgot anything before but these thoughts that I have devour my mind. I will check and check and check but I will still question it. To help reassure myself on this I take a picture and clap (or memorable action). I feel like I am in the same circle.",['Thought'],1,1,1,1,1,1.0,"['unrealistic thought', 'thought']","['unrealistic thought', 'thought']",,1
"There is a risk, however small, that tomorrow I will walk under a bus. There is a risk that I may get Ebola (can you guess what my OCD might be especially keen on at the moment?), that I might cause an accident, that I might hurt someone unintentionally, that I might leave my cooker on and burn down the entire student residenceâ¦ the list goes on. Every day we take a million tiny decisions and a million tiny risks.
Worse than all of that though is the risk that I choose not to take. There is also the risk that I donât face up to my OCD and that it ends up consuming my life, my dreams and my future.
You see, life is dangerous. There is scary stuff out there. And yet we have to make that choice â do we accept the uncertain, the unknowns and live with it (as those without OCD seem to do), or do we allow OCD to try to reduce those risks and spiral into isolation and fear, anxiety and terror. You see, in the face of uncertainty, I will (like most humans) leap to the worst possible conclusion. Instead of accepting uncertainty I will do everything I can to strive for the impossible, 100% certainty.
A huge part of facing my OCD has been about accepting uncertainty. I might get Ebola, but I might not, but those extra hours I spend washing my hands are definitely hours that I won’t get back. Because if I live continuously on edge, fearful that something terrible might happen, then Iâm not really living, am I?
Iâm not there yet â Iâm still not one for spontenaity, and Iâm not keen on uncertainty or giving up the endless doubt, but I do see that it's necessary. Iâm getting there. Slowly but surely, but I'm getting there.
I Donât forget to tweet using","['anger', 'unknown', 'anxiety', 'anxiety', 'washing hands', 'fear', 'OCD']",1,1,1,0,0,1.0,"['fearful', 'washing', 'scary', 'hand']","['ocd', 'fear', 'anger', 'unknown', 'washing', 'washing hands', 'scary', 'fearful', 'anxiety', 'hand']",,
"my mom started moaning/shouting at 5:20 today because I said yes in a 'lazy' 'inappropriate way' This got her shouting till about 7:20, and now she is giving the silent treatment, after spending half of that time shouting at me for OCD related things, and she even moaned I got the wrong kind of OCD, as if I could chose, and that I should have the tidyness one, because like most teens, my room is messy, but that's also because I cant touch anything in there seeing its all dirty including the bed, the clothes cupboard etc.... she can’t understand this so she shouts... its so annoying!
Then last Saturday night I was sick, and in the morning, still feeling sick, I didnt clean it off the futon, also because I cant deal with sick, particularly considering I had just showered... like how many non-OCD sufferers would have been fine with doing that? But my friend got made at me, knowing I have OCD, and that I was still feeling sick, to the extent she told me I was disgusting (because I was watching a movie instead of cleaning it, because I seriously COULDNT) and then got so mad that I haven’t spoken to her since Sunday.... her mom died a year ago tommorow, so I want to go check she is ok, but I have no idea if she is even talking to me and stuff.... its so confusing....
I also keep being late to school, getting depressed... urges of self harm are coming back, and I'm coming off meds.... I cant handle this!
OK, I've done... I needed to rant.... oh and if anyone has advice on the situation, I'd like it, please.... and sorry I havent been around for so long, I havent had a good few weeks...","['Treatment', 'disgust', 'talking', 'urge', 'OCD']",1,1,0,0,0,1.0,"['hand', 'inappropriate']","['ocd', 'inappropriate', 'disgust', 'treatment', 'talking', 'urge', 'hand']",,
"Hey guys
Hope everyone is still fighting the good fight!
I posted a few days ago with some suggestions my therapist had but it was during the bizarre forum deleting time period.
I was saying that I have bad anxiety in the mornings and my therapist made (in my opinion) a pretty valuable point regarding not eating in the morning increasing anxiety. She basically suggested that as humans we are still programmed to run on adrenaline as soon as we wake up in order to hunt and gather food. I never ate breakfast, just a coffee until midday. I'm forcing myself to eat breakfast and id like to report a definite decrease in morning anxiety! I know that caffeine can effect your mood so I'm trying (and failing) to cut down, although I've been looking Into it quite a bit and some studies seem to suggest that consuming high levels of sugar can be detrimental to your mental health. For me personally, when I have too much sugar I get shaky and my mind seems to jump about the place even more. So I'm thinking about trying to eliminate sugar from my diet for a while and seeing if it has any impact on my anxiety. I was wondering, has anyone else found reducing certain food groups/additives etc has improved your overall mood? Don't get me wrong I'm in no way saying cutting out sugar will definitely help, I don't know if it would and that's why I'm asking you guys what you think definitely becoming a believer in the idea that looking after yourself in every way you can can give you that little push in the OCD battle.
Any replies are much appreciated","['hope', 'OCD', 'Food', 'anxiety', 'anxiety']",0,0,0,0,0,0.0,[],"['anxiety', 'hope', 'ocd', 'food']",,
"Ive been exploding with worries today but then later it hit me that i may be into BDSM.... i remember watching a video a few years ago (i was 13) where the girl is forcing her breast in the other girls mouth (not in a rape way cos she liked it) .and it really got me off compared to other videos.... and recently one girl slapped another girl in a video and i got a huge groinal response however i am confused whether it was mixed in with my previous ocd worries......so anyways today i searched bondage and just looking through the selection of videos made me sick...i watched two and couldnt get errect...but maube it was because i was so anxious at the time? to test i watched a normal porno of my definite taste and it was hard to get an erection......like i am seriously scared right now this is driving me nuts i wanted to know if anyone has any ideas on this...im so scared what if i like the really extreme stuff? and why do i find when lesbians give each other slaps in the face hot? cos i seemed to today and last time....arrghh i dont know what to do anymore!!
Edited August 28, 2013 by Caramoole",['OCD'],0,0,0,0,0,0.0,['rape'],"['rape', 'ocd']",,
