post,prefLabel,obsession_first_checker,obsession_second_checker,obsession_third_checker,compulsion_first_checker,compulsion_second_checker,compulsion_third_checker,postAnnotations,mergedAnnotations,Compulsion exp,Obsession exp,agreed_obsession_label,agreed_compulsion_label
grew obsessive thought aptly intrusive thought believed reflection recently learned opposite exactly real dark honesty next paragraph feel need told intrusive thought intrusion always violent young 4 remember thinking death little older killing rape murder age 10 would constantly haunted thought torturing people around inappropriate act violence even though understand act sexual violence thought came fast succession become constant repulsive extremely distressing little recognised intrusion bad thought knew know communicate others could frightening almost felt like mind blackmailing make matter worse obsessive thought ugly brother consequence stepped consequence took compulsion mixed obsession reared head voice speaks match spoon together mum die today cross toe leg crossed crash car school wash hand 3 time 12 step process house robbed work,"['site', 'compulsion', 'obsession', 'rash', 'process', 'Intrusive thoughts', 'Thought']",1,1,1,1,1,1.0,"['rape', 'violent', 'distressing', ‘repulsive','intrusion', 'obsessive thought', 'obsession', 'hand', 'intrusive thought']","['rape', 'violent', 'hand', 'distressing', 'obsessive', 'repulsive', 'site', 'rash', 'thought', 'intrusive thoughts', 'obsession', 'obsessive thought', 'process', 'compulsion', 'intrusion', 'intrusive thought']",1.0,1.0,1,1
thinking much covid part job well right concern encouraged hand washing ocd would scratch ocd itch brain got tired real quick singing happy birthday washing hand became clear like life perfect striving perfectly eliminate risk going happen increase anxiety fear contamination might get worse manage thought know irrational cleaned revealing,"['singing', 'washing hands', 'anxiety', 'anxiety', 'fear', 'Thought', 'OCD']",1,1,1,1,1,0.0,"['washing', 'irrational', 'thought', 'hand']","['ocd', 'anxiety', 'fear', 'washing', 'washing hands', 'thought', 'irrational', 'singing', 'hand']",,,1,1
fed send day checking excessive checking every thing go friend time believe ocd something manage go control thought come mind close oven positive trust thought sad need help belive old nonecse irrational go step,"['OCD', 'checking', 'Thought']",1,1,1,1,1,1.0,"['irrational', 'thought', 'excessive checking']","['ocd', 'excessive checking', 'checking', 'irrational', 'thought']",1.0,1.0,1,1
noticed washing hand lately thing triggering need wash hand giving trigger often scare need careful work giving like today washed hand quite time probably really need really felt like needed moment going ahead washing seemed easier waiting need difficult time lately depression therapy hard holding progress made ocd therapy help keep working depression stuff therapy keep remind got better got control ocd ocd irrational hopefully get better soon,"['washing hands', 'hope', 'depression', 'OCD']",1,0,0,1,1,1.0,"['washing', 'irrational', 'hand']","['ocd', 'washing', 'depression', 'irrational', 'washing hands', 'hope', 'hand']",,,0,1
sound stupid moment want download window live messenger something bad might happen know seem need reassurance nothing bad happen getting nerve know sound stupid really frustrating know nothing happen usually bad thought actually bad horrible thought something bad happen real frustrated,['Thought'],1,1,1,1,0,0.0,['thought'],['thought'],,,1,0
get wrong getting much worse room today tapping break stop cry sooooo scare know help well know may well ask part indulged somewhat potentially become worse year struggle feel safe comfortable sure something done locking door reason feel need check time know need unrealistic thought feel terrified consequence vision pas mind never forgot anything thought devour mind check check check still question help reassure take picture clap memorable action feel like circle,['Thought'],1,1,1,1,1,1.0,"['unrealistic thought', 'thought']","['unrealistic thought', 'thought']",,1.0,1,1
risk however small tomorrow walk bus risk may get ebola guess ocd might especially keen moment might cause accident might hurt someone unintentionally might leave cooker burn entire student list go every day take million tiny decision million tiny risk worse though risk choose take also risk donât face ocd end consuming life dream future see life dangerous scary stuff yet make choice â accept uncertain unknown live without ocd seem allow ocd try reduce risk spiral isolation fear anxiety terror see face uncertainty like human leap worst possible conclusion instead accepting uncertainty everything strive impossible 100 certainty huge part facing ocd accepting uncertainty might get ebola might extra hour spend washing hand definitely hour get back live continuously edge fearful something terrible might happen iâm really living iâm yet â iâm still one spontenaity iâm keen uncertainty giving endless doubt see necessary iâm getting slowly surely getting donât forget tweet using,"['anger', 'unknown', 'anxiety', 'anxiety', 'washing hands', 'fear', 'OCD']",1,1,1,0,0,1.0,"['fearful', 'washing', 'scary', 'hand']","['ocd', 'fear', 'anger', 'unknown', 'washing', 'washing hands', 'scary', 'fearful', 'anxiety', 'hand']",,,1,0
mom started today said yes way got shouting till giving silent treatment spending half time shouting ocd related thing even moaned got wrong kind ocd could chose tidyness one like teen room messy also touch anything seeing dirty including bed clothes cupboard etc understand shout annoying last saturday night sick morning still feeling sick clean futon also deal sick particularly considering showered like many sufferer would fine friend got made knowing ocd still feeling sick extent told disgusting watching movie instead cleaning seriously could got mad spoken since sunday mom died year ago tommorow want go check ok idea even talking stuff confusing also keep late school getting depressed urge self harm coming back coming med handle ok done needed rant oh anyone advice situation would like please sorry around long good week,"['Treatment', 'disgust', 'talking', 'urge', 'OCD']",1,1,0,0,0,1.0,"['hand', 'inappropriate']","['ocd', 'inappropriate', 'disgust', 'treatment', 'talking', 'urge', 'hand']",,,1,0
hey guy hope everyone still fighting good fight posted day ago suggestion therapist bizarre forum deleting time period saying bad anxiety morning therapist made opinion pretty valuable point regarding eating morning increasing anxiety basically suggested human still programmed run adrenaline soon wake order hunt gather food never ate breakfast coffee midday forcing eat breakfast id like report definite decrease morning anxiety know caffeine effect mood trying failing cut although looking quite bit study seem suggest consuming high level sugar detrimental mental health personally much sugar get shaky mind seems jump place even thinking trying eliminate sugar diet seeing impact anxiety wondering anyone else found reducing certain food etc improved overall mood get wrong way saying cutting sugar definitely help know would asking guy think definitely becoming believer idea looking every way give little push ocd battle reply much appreciated,"['hope', 'OCD', 'Food', 'anxiety', 'anxiety']",0,0,0,0,0,0.0,[],"['anxiety', 'hope', 'ocd', 'food']",,,0,0
exploding worry today later hit may bdsm remember watching video year ago 13 girl forcing breast girl mouth rape way co liked really got compared video recently one girl slapped another girl video got huge groinal response however confused whether mixed previous ocd worry anyways today searched bondage looking selection video made sick watched two could get errect maube anxious time test watched normal porno definite taste hard get erection like seriously scared right driving nut wanted know anyone idea scared like really extreme stuff find lesbian give slap face hot co seemed today last time arrghh know anymore edited august 28 2013 caramoole,['OCD'],0,0,0,0,0,0.0,['rape'],"['rape', 'ocd']",,,0,0
