post,prefLabel,compulsion,obsession,Compulsion Manual checking1,Obsession Manual checking 1,Compulsion checker 2,Obsession checker 2
"I am not cured of OCD. I'm still in the process. I've made a TON of progress in therapy. I wanted to make a thread about my progress so people would feel better, but for some reason I was not motivated, because I was better, and I didn't know how to convince people that therapy actually DOES work. I think that's why you often don't see posts here from people who get better, and you don't usually hear about people getting better often on this forum but they do.

Today, I had a sadness moment, and that's why I posted here. And even thought this might not bring home the point, or be perfect, I decided to write about both.

I'm sad because I saw the movie """"The Fault in Our Stars"""" and the girl in that movie had cancer, but I was actually jealous of her. And it makes me sad to think my OCD makes my life so hard that I can be jealous of someone who has cancer. Like when I saw she didn't have oily hair, it meant she could shower more than once a week like I do because my showers are too OCDish (they've improved a lot - in the past I wanted to kill myself when I took showers). I saw like the guy just taking off her clothes in the sorta sex scene, and idk if TMI lol but I'm like too careful about clothes because feel like I don't want to """"cross contaminate"""" my body and have clean parts like Howie Mandel with the palms of his hands, so that wasn't me with my last boyfriend. I'd often not do anything bc of OCD with clothes. When I saw her get in the car and start driving I thought, I wish I didn't have to check things in my car. She is probably gonna drive home and just click the lock and go home. When she said she didn't want to read a letter someone said, I felt sad because I have an OCD thing with reading things, like feeling like I have to read things.... *sigh* idk. I think OCD is really really underrepresented in our society. I guess maybe one of the reasons I am sad after this movie is because I like fell in love with her love interest, and because of what happened in the movie, maybe I just feel like that. But anyway, I just want to like hang out with you guys, like sit in a circle and just be there with you guys, because you understand. But I did get a good quote from the movie, """"You don't get to choose if you get hurt in this world. But you do have a say in who hurts you."""" Meaning one of the people wanted to be away from the other bc if she died she would hurt him, and she had like a similar thing happen to her. So one of them got to hurt the other, but they had an amazing love. (And by amazing like, I don't mean movie star, like that movies was about*, one of the things it was about, is that even if you're not known by many people, you are loved by maybe a few people in your life and like you ARE important and remembered.) So when I heard this I was like """"oh true, I didn't choose to get hurt but I got hurt. some evil force hurt me. and I never chose it."""" and it made me feel better. And like I know even with OCD in my life, I've had some great situations like requited romance and like some people have been significant. So... basically... idk I guess I just need a little support right now. :\

But, usually I don't feel like this. I actually got WAY better with OCD. My showers used to take me 4 hours and I'd be a zombie after bc of the concentrated OCD experiences I had, sometimes I'd sit in my room with a knife and scratch my wrists, and I'd often think of suicide. I went to a psychologist (like a decent OCD psychologist, not some phony, which there are a lot of), I started taking medication and I saw a HUGE improvement. My showers are like an hour and 20 minutes now and we're working on them now (we were working on other things for a while, that's why they stayed like that). I used to like play candy crush on my computer while knowing I wasn't doing anything with my life after college because OCD just debilitated me in a lot of ways and my parents weren't supportive to top it all off. I couldn't clean my desk in front of me, with a bunch of random stuff and some junk around the computer because putting one object away would cause me to OCD over the drawer I put it in and line some **** up. Like I had OCD for a while, I didn't have to let it get that bad, and I so wish I didn't. I still am able to see improvement, it would just have been easier earlier, I mean, and not having had to like work down from a really bad level. I still have to get to how my OCD was like 6 years ago. Though maybe I just had different symptoms and I don't remember my struggles. That was probably it. But anyway, now I can clean things pretty easily. I can throw things away, I can wash my hair if I don't shower, I can go out with friends which was a huge OCD pain before bc I'd have OCD tied to going out. I used to be depressed. With the exception of today, I've been happy* recently. Like, actually happy which I didn't feel before because of OCD. But I've been fairly happy. I got way better. It IS possible, and more so easy and likely, to get better if you have OCD. You just have to find a psychologist who can treat it. If you really want to, but are afraid or doubtful, just GO. Just find one. Don't think about it, just find one and go to her or him. My psychologists I visited never once judged me. If you have OCD you deserve help. Even medication can make you feel better alone. Though therapy gets rid of your OCD symptoms more. But still medication is nice. Something they don't tell you about OCD treatment, which you guys probably know by now - how it involves you doing the opposite of what OCD tells you, like in a controlled way and slowly if you want it to be of course, and then you see that it's not that bad. But one thing I never* knew is that you might feel worried or anxious after you do an OCD treatment assignment, but repetition is important so OCD doesn't sink back in a little. If you do it a few times, you truly feel WAY better about it, like you don't care, like you're a normal person regarding that thing. And even after the first time, after a little time, you do feel better. And for me it was never as bad as it seemed. (This last thing just makes me not scared as much to do exposures because I remember thinking things were like gonna be the end of the world, and then I was fine with them and was normal about them.) It's also good to talk back to your OCD. Basically like the mindfulness thing. See what your thoughts and fears are and then talk back to it, like think about how it's irrational. Like that it is irrational, and you can even tell yourself why. I learned doing OCD things when they come to you, kind of like prevents your brain from getting the time to just think about it subconsciously and like irrationalize it. So give it that time. But also if one time fails, try again and again. Repetition when doing exposures or like not giving in to certain compulsions, and not just once a month, but enough so OCD doesn't sink back in and get you scared, really helps you eliminate that compulsion. And for me a lot of things seemed like an exception, and things still do but it's just OCD. It's just OCD.
Edited June 11, 2014 by svr","['sadness', 'interest', 'object', 'fear', 'symptom', 'site', 'Treatment', 'compulsion', 'Thought', 'Medication', 'OCD', 'process']",1,0,1,0,0,0
"Hi
 I just wanted to share that I am very happy I have been discharged from therapy but still believe there's a long way to go.
I am aiming to put all the practices I was taught into place and some have been working already, in times under considerable stress.
My compulsions weigh heavy on my mind like right now as I am typing but I guess I just have to go down that rabbit hole, and see if a better life awaits, which I have desire and confidence will be.
Best to all
  Andrew
PS: Make the most and enjoy the beaming sun!
   ","['discharge', 'compulsion', 'joy']",1,0,1,0,1,0
"Is going on multiple OCD forums a compulsion? 
By that I mean reading multiple OCD stories similar to mines? 
I read them even though I don't have OCD.","['compulsion', 'OCD']",1,0,1,0,1,0
"I’ve suffered from OCD for a few years now and have always convinced myself I’m ‘not that bad’ but it’s gotten to a point where I have to check all of the plug sockets in the house, turn the buttons on the gas job and check all of the external doors multiple times, by yanking on the door handles just to be sure they are definitely locked - this has resulted tonight in me breaking the front door because I have been trying the handle so forcefully. It’s been a bit of a wake up call for me just how bad it’s actually got, I dread leaving the house/going to bed because I know I’ll have to go through the whole stupid routine otherwise I’ll be an anxious mess the whole time. 
Does anyone else have these sort of compulsions and how do you find best to manage them and stop doing it so much? Any tips would be much appreciated! ","['flatulence', 'OCD', 'compulsion']",1,0,1,0,1,0
"The last few weeks have been really difficult. I've been off work since the start of December and I want so desperately to get back to work and normality. For every good day I have I tend to have a run of 2 or 3 bad days.
When I first relapsed in November my compulsion quickly became to constantly seek reassurance online. I don't think there's an article I haven't read, a website I haven't visited or a youtube video I haven't watched countless times, pretty soon my compulsion was taking up most of my day, still does to be honest.
I joined this forum hoping to be a help to others suffering and for advice myself at times of need but I'm worried that visiting the forum is now my new compulsion, my way of seeking further reassurance.
How can I ever improve on my situation if I'm constantly discussing and researching my illness when doing so is the very thing that gives it strength.
My wife is really starting to lose her patience, she's constantly catching me on my phone and she's well aware of what I'm doing. So much so that I've started hiding it when I hear her coming, it's getting a little ridiculous!
Can anyone relate?
Thanks
Edited January 19, 2014 by OCDelighted","['OCD', 'site', 'compulsion']",1,0,1,0,1,0
"Hi everyone. The first part ill start you out, is a copy and paste of my introduction
Hi All. I am 13 years old. I need help. Really bad. Im so stressed out, over stupid ****. I have extremely bad OCD. The type of OCD that involves excessive worrying, and worrying over redicilious things. If something is not perfect, I stress over it. I actually can't stop. Many nights I have been up all night, worrying about redicilious stuff, the little things.
I need to stop this now before this gets really bad. I'm just so stressed out right now. I've had OCD as long as I can remember, and its really impacting my life. I hope I can find people like me and we can talk about our experiences.
I worry of what people will think of me, I have bad anxiety problems. I have anxiety about small events, that will take place in Months, or a very long time from now.
Sincerely, A stressed out ocd sufferer
Now ill explain a bit more. I cannot stop changing things. If I choose something, I change it, because I find one little thing wrong with it. I used to have compulsions of movements, like head shaking, or looking at something a certain amount of times. But that has died off, and the panic/anxiety/perfection seeking has arisen. I fear death in everything. I also wonder, what are the chances of me dying? Is it really worth the risk?
I just need a stop to this. Its taking over my life. I always go with the popular choice of a group, because I don't want to be different. I can't accept that fact that I'm different in many things. I am only 13 years old. I shouldn't be struggling with this. I should be outside, hanging out with my friends, playing video games, having fun. But no, i can't. I worry, stress, all day long. And sometimes there will be times where it completely falls off, but the next day it comes back. Sometimes much worse. This problem has not deceased at all, in fact, its getting worse every week.
I just want to know how to stop this, and how I can stop striving for absolute perfection, and just have fun. And not care about what other people think. Not get anxiety over little things. Stop worrying obsessively over things that really don't matter. I need a stop to this, i'm hoping some of you can help me enjoy life again, and just be a kid.
Sincerely, Burnsy CEO

Quote
MultiQuote
Edit","['hope', 'compulsion', 'shaking', 'fear', 'outside', 'fall', 'joy', 'OCD', 'anxiety', 'anxiety']",1,1,1,1,1,1
"So psychotherapy finally got in touch with me today after 1 year since I started seeing my current psychiatrist. After a 30 minute telephone assessment of my OCD (which by the way is chronic to the point where I spend 8 hours or more per day on compulsions) I was told 18 months until someone could help me. I also suffer horrible depression, likely due to the exhaustion of my OCD. 
Was just wondering what other people's current experiences were with waiting times for NHS therapy and whether it may related to my location. (South Wales). Obviously, it's covid times, but surely CBT can just be done over the phone. Perhaps more people need CBT now for covid related depression? Who knows. 
I understand that people who are self harming themselves or others or at risk of suicide take priority, but it's sad that myself and others are left to be in pain for such a long time by a system that would rather just medicate us instead of healing us properly. NHS please get more CBT staff!!!
Any recommendations to private therapists would be greatly appreciated. Not that I can afford it or anything.
Edited December 23, 2020 by Captain Trips","['compulsion', 'exhaustion', 'OCD', 'depression']",1,0,1,0,1,0
"Hi all
I am new to the forum, and talking to people about my OCD but having read so many supportive and inspirational messages on here I think it is time for me to also feel supported and part of the community. 
  I have had many variations of OCD since I was 15, starting with contamination being the earliest I can remember. Its been immensely draining and I really don’t know where the time has gone but it passes by. Every day is a new day and therefore new potential for a new obsessive thought to intrude my mind. 
  I had to seek help during lockdown as I just could not function, I have been on sertraline for over 6 months with very minimal success. I am currently on 200mg and only now I can feel the edge is taken off my anxiety. 
I guess my issues are : 
I know its OCD, I’ve had CBT and exposure therapy, also read loads of resources- I know what it is, but as I went for so long having no treatment and just thinking why am I so weird - no one else is like me. I feel stuck, I know its all irrational but it feels like the habit of neutralising with the compulsions is second nature. 
I really do not know why my current rumination which has been the dominant thought for the past 5.5 years is even stuck? Its about my ex husbands new wife. Shes always in my head, my thoughts, I cant get her out unless I go through a variety of rituals which can take hours. 
I cant function as a normal person ie: do chores, or start some work, or start a new task because if I do she will contaminate it and it will be ruined cursed destroyed. I cant look in the mirror as she will contaminate my face and I will then get acne. Then my face feels like she’s contaminated me. 
  I mean wow Ive never actually written that in such a simplistic way. I am married again and I have been afraid for the past 5 years she will ruin my relationship. Infect it, disease it, ruin it. 
  But Im the one who has ruined so much by not living, holding back, I feel like I use 20% of my brain because of her. I cant even put a wash on because she will infect my clothes and then when I wear them she will be present. 
The more I think about it, I’ve no answer as to why I fear her so much. The only incident I can think of is she married my ex husband very soon after we separated, our marriage broke down as he was having an affair with someone else (not her). The next thing you know hes met his current wife (my source of fear) and she is defending him and his actions and she contacted me in response to something I put on social media about him saying that I will only know what it feels like when I have my own children- ie: what his parents have gone through as he is innocent etc, she believed his version of events over the facts. I do not have children as have not been able to conceive, is it because of her ill wishes towards me? I really do not know why I am so afraid of her when I have never physically spoken to her. Now I am seeking help, is it too late as I cannot shake off the habits of 5.5 years of this same thought.
  any advice, thoughts would be very welcome.
thanks Kay","['talking', 'anxiety', 'anxiety', 'Treatment', 'Rituals', 'disease', 'social media', 'fear', 'OCD', 'Thought', 'compulsion']",1,1,1,1,1,1
"Hey there.
I am 19y old and suffer from OCD, mainly """"Pure O"""" OCD. I was diagnosed in November of 2013 by my psychologist. At first I was diagnosed with depression and the beginning of 2013 but as my OCD worsened I finally got the courage to talk to my psychologist about it. When I was younger I never paid much attention to the compulsions; I just thought I had weird quirks. I am on medication to help me with my depression and OCD.","['compulsion', 'Thought', 'Medication', 'depression', 'OCD']",1,0,1,0,1,1
"I've tried to keep off forums as I know that I use them to seek reassurance which is bad. Plus my therapist said it's a bad idea... but I apparently can't help myself. Is this really pure-O, maybe reassurance seeking is my big compulsion?
I just can't seem stop doubting that it really is my ocd, and if it isn't then I'm obviously a total time-wasting screw-up. Yesterday night I got to the point of hysterical sobbing which I haven't done since things were really bad months back. Now I'm scared that maybe I'm getting bad again, I just don't think I can go back to that dark place again. Also I don't know if my bf can handle me like that again...
And to think it was all triggered by a guy I had a crush on (and still think is very attractive) posting an innocent comment on my facebook wall. Now I'm terrified of even going on facebook, convinced I'm going to break up with my bf and run off with this guy, or cheta on him, or something awful. Maybe I should just end this relationship, I clearly don't deserve someone who loves me like this when I'm too screwed up to feel anything but guilt and anxiety around him.
I feel so bloody guilty all the time and it's really taking it's toll. If I really loved my boyfriend why would I doubt it like this? Why can't things be like they used too? I'm sick and tired of this endless nightmare and I'm terrified of the truth... I made myself say outloud 'I don't love him' just to see how I'd feel. I almost cried again. Great, so I'm going nuts, again... I don't know what I want, I know reassurance is useless but I don't know what to do or who to talk to... christ I wish there was a magic pill or a time machine. I've screwed everything up so badly and I just can't seem to fix myself.
Sorry for the melodrama.","['compulsion', 'OCD', 'wasting', 'anxiety', 'anxiety', 'guilt']",1,0,1,0,1,1
